cos_theta_center,cos_theta_det_center,counts,omega
0.0950000000,0.2750000000,4262,0.0000852400
0.0950000000,0.3250000000,15164,0.0003032800
0.0950000000,0.3750000000,22699,0.0004539800
0.0950000000,0.4250000000,25998,0.0005199600
0.0950000000,0.4750000000,28280,0.0005656000
0.0950000000,0.5250000000,32386,0.0006477200
0.0950000000,0.5750000000,39884,0.0007976800
0.0950000000,0.6250000000,61524,0.0012304800
0.0950000000,0.6750000000,22495,0.0004499000
0.0950000000,0.7250000000,32421,0.0006484200
0.0950000000,0.7750000000,38077,0.0007615400
0.0950000000,0.8250000000,0,0.0000000000
0.0950000000,0.8750000000,0,0.0000000000
0.0950000000,0.9250000000,0,0.0000000000
0.0950000000,0.9750000000,0,0.0000000000
0.1050000000,0.0250000000,0,0.0000000000
0.1050000000,0.0750000000,0,0.0000000000
0.1050000000,0.1250000000,0,0.0000000000
0.1050000000,0.1750000000,0,0.0000000000
0.1050000000,0.2250000000,1,0.0000000200
0.1050000000,0.2750000000,4295,0.0000859000
0.1050000000,0.3250000000,15240,0.0003048000
0.1050000000,0.3750000000,22610,0.0004522000
0.1050000000,0.4250000000,25627,0.0005125400
0.1050000000,0.4750000000,28286,0.0005657200
0.1050000000,0.5250000000,32208,0.0006441600
0.1050000000,0.5750000000,40745,0.0008149000
0.1050000000,0.6250000000,56821,0.0011364200
0.1050000000,0.6750000000,21727,0.0004345400
0.1050000000,0.7250000000,30545,0.0006109000
0.1050000000,0.7750000000,43795,0.0008759000
0.1050000000,0.8250000000,0,0.0000000000
0.1050000000,0.8750000000,0,0.0000000000
0.1050000000,0.9250000000,0,0.0000000000
0.1050000000,0.9750000000,0,0.0000000000
0.1150000000,0.0250000000,0,0.0000000000
0.1150000000,0.0750000000,0,0.0000000000
0.1150000000,0.1250000000,0,0.0000000000
0.1150000000,0.1750000000,0,0.0000000000
0.1150000000,0.2250000000,7,0.0000001400
0.1150000000,0.2750000000,4134,0.0000826800
0.1150000000,0.3250000000,15086,0.0003017200
0.1150000000,0.3750000000,22320,0.0004464000
0.1150000000,0.4250000000,25847,0.0005169400
0.1150000000,0.4750000000,28686,0.0005737200
0.1150000000,0.5250000000,32804,0.0006560800
0.1150000000,0.5750000000,42932,0.0008586400
0.1150000000,0.6250000000,50200,0.0010040000
0.1150000000,0.6750000000,21242,0.0004248400
0.1150000000,0.7250000000,28834,0.0005766800
0.1150000000,0.7750000000,48429,0.0009685800
0.1150000000,0.8250000000,0,0.0000000000
0.1150000000,0.8750000000,0,0.0000000000
0.1150000000,0.9250000000,0,0.0000000000
0.1150000000,0.9750000000,0,0.0000000000
0.1250000000,0.0250000000,0,0.0000000000
0.1250000000,0.0750000000,0,0.0000000000
0.1250000000,0.1250000000,0,0.0000000000
0.1250000000,0.1750000000,0,0.0000000000
0.1250000000,0.2250000000,14,0.0000002800
0.1250000000,0.2750000000,4217,0.0000843400
0.1250000000,0.3250000000,14967,0.0002993400
0.1250000000,0.3750000000,22349,0.0004469800
0.1250000000,0.4250000000,25163,0.0005032600
0.1250000000,0.4750000000,28512,0.0005702400
0.1250000000,0.5250000000,33242,0.0006648400
0.1250000000,0.5750000000,45903,0.0009180600
0.1250000000,0.6250000000,42481,0.0008496200
0.1250000000,0.6750000000,20615,0.0004123000
0.1250000000,0.7250000000,27121,0.0005424200
0.1250000000,0.7750000000,53433,0.0010686600
0.1250000000,0.8250000000,0,0.0000000000
0.1250000000,0.8750000000,0,0.0000000000
0.1250000000,0.9250000000,0,0.0000000000
0.1250000000,0.9750000000,0,0.0000000000
0.1350000000,0.0250000000,0,0.0000000000
0.1350000000,0.0750000000,0,0.0000000000
0.1350000000,0.1250000000,0,0.0000000000
0.1350000000,0.1750000000,0,0.0000000000
0.1350000000,0.2250000000,33,0.0000006600
0.1350000000,0.2750000000,4154,0.0000830800
0.1350000000,0.3250000000,14999,0.0002999800
0.1350000000,0.3750000000,22174,0.0004434800
