cos_theta_center,cos_theta_det_center,counts,omega
0.0950000000,0.2750000000,12742,0.0002548400
0.0950000000,0.3250000000,23003,0.0004600600
0.0950000000,0.3750000000,26648,0.0005329600
0.0950000000,0.4250000000,29137,0.0005827400
0.0950000000,0.4750000000,31786,0.0006357200
0.0950000000,0.5250000000,35892,0.0007178400
0.0950000000,0.5750000000,45042,0.0009008400
0.0950000000,0.6250000000,70236,0.0014047200
0.0950000000,0.6750000000,22706,0.0004541200
0.0950000000,0.7250000000,33099,0.0006619800
0.0950000000,0.7750000000,39106,0.0007821200
0.0950000000,0.8250000000,0,0.0000000000
0.0950000000,0.8750000000,0,0.0000000000
0.0950000000,0.9250000000,0,0.0000000000
0.0950000000,0.9750000000,0,0.0000000000
0.1050000000,0.0250000000,0,0.0000000000
0.1050000000,0.0750000000,0,0.0000000000
0.1050000000,0.1250000000,0,0.0000000000
0.1050000000,0.1750000000,0,0.0000000000
0.1050000000,0.2250000000,1166,0.0000233200
0.1050000000,0.2750000000,12492,0.0002498400
0.1050000000,0.3250000000,23041,0.0004608200
0.1050000000,0.3750000000,26950,0.0005390000
0.1050000000,0.4250000000,29195,0.0005839000
0.1050000000,0.4750000000,31634,0.0006326800
0.1050000000,0.5250000000,36622,0.0007324400
0.1050000000,0.5750000000,46510,0.0009302000
0.1050000000,0.6250000000,64141,0.0012828200
0.1050000000,0.6750000000,22065,0.0004413000
0.1050000000,0.7250000000,31098,0.0006219600
0.1050000000,0.7750000000,44402,0.0008880400
0.1050000000,0.8250000000,0,0.0000000000
0.1050000000,0.8750000000,0,0.0000000000
0.1050000000,0.9250000000,0,0.0000000000
0.1050000000,0.9750000000,0,0.0000000000
0.1150000000,0.0250000000,0,0.0000000000
0.1150000000,0.0750000000,0,0.0000000000
0.1150000000,0.1250000000,0,0.0000000000
0.1150000000,0.1750000000,0,0.0000000000
0.1150000000,0.2250000000,1242,0.0000248400
0.1150000000,0.2750000000,12752,0.0002550400
0.1150000000,0.3250000000,22811,0.0004562200
0.1150000000,0.3750000000,26800,0.0005360000
0.1150000000,0.4250000000,29046,0.0005809200
0.1150000000,0.4750000000,32346,0.0006469200
0.1150000000,0.5250000000,37182,0.0007436400
0.1150000000,0.5750000000,49008,0.0009801600
0.1150000000,0.6250000000,57006,0.0011401200
0.1150000000,0.6750000000,21227,0.0004245400
0.1150000000,0.7250000000,28798,0.0005759600
0.1150000000,0.7750000000,49580,0.0009916000
0.1150000000,0.8250000000,0,0.0000000000
0.1150000000,0.8750000000,0,0.0000000000
0.1150000000,0.9250000000,0,0.0000000000
0.1150000000,0.9750000000,0,0.0000000000
0.1250000000,0.0250000000,0,0.0000000000
0.1250000000,0.0750000000,0,0.0000000000
0.1250000000,0.1250000000,0,0.0000000000
0.1250000000,0.1750000000,0,0.0000000000
0.1250000000,0.2250000000,1346,0.0000269200
0.1250000000,0.2750000000,13099,0.0002619800
0.1250000000,0.3250000000,22887,0.0004577400
0.1250000000,0.3750000000,27042,0.0005408400
0.1250000000,0.4250000000,29519,0.0005903800
0.1250000000,0.4750000000,32782,0.0006556400
0.1250000000,0.5250000000,37816,0.0007563200
0.1250000000,0.5750000000,53176,0.0010635200
0.1250000000,0.6250000000,48378,0.0009675600
0.1250000000,0.6750000000,20592,0.0004118400
0.1250000000,0.7250000000,27547,0.0005509400
0.1250000000,0.7750000000,54138,0.0010827600
0.1250000000,0.8250000000,0,0.0000000000
0.1250000000,0.8750000000,0,0.0000000000
0.1250000000,0.9250000000,0,0.0000000000
0.1250000000,0.9750000000,0,0.0000000000
0.1350000000,0.0250000000,0,0.0000000000
0.1350000000,0.0750000000,0,0.0000000000
0.1350000000,0.1250000000,0,0.0000000000
0.1350000000,0.1750000000,0,0.0000000000
0.1350000000,0.2250000000,1405,0.0000281000
0.1350000000,0.2750000000,12668,0.0002533600
0.1350000000,0.3250000000,22984,0.0004596800
0.1350000000,0.3750000000,27217,0.0005443400
0.1350000000,0.4250000000,29882,0.0005976400
0.1350000000,0.4750000000,32903,0.0006580600
0.1350000000,0.5250000000,39209,0.0007841800
0.1350000000,0.5750000000,60303,0.0012060600
0.1350000000,0.6250000000,36118,0.0007223600
0.1350000000,0.6750000000,20368,0.0004073600
0.1350000000,0.7250000000,26390,0.0005278000
0.1350000000,0.7750000000,57708,0.0011541600
0.1350000000,0.8250000000,0,0.0000000000
0.1350000000,0.8750000000,0,0.0000000000
0.1350000000,0.9250000000,0,0.0000000000
0.1350000000,0.9750000000,0,0.0000000000
0.1450000000,0.0250000000,0,0.0000000000
0.1450000000,0.0750000000,0,0.0000000000
0.1450000000,0.1250000000,0,0.0000000000
0.1450000000,0.1750000000,0,0.0000000000
0.1450000000,0.2250000000,1457,0.0000291400
0.1450000000,0.2750000000,12624,0.0002524800
0.1450000000,0.3250000000,22567,0.0004513400
0.1450000000,0.3750000000,27275,0.0005455000
0.1450000000,0.4250000000,30119,0.0006023800
0.1450000000,0.4750000000,33502,0.0006700400
0.1450000000,0.5250000000,40641,0.0008128200
0.1450000000,0.5750000000,73412,0.0014682400
0.1450000000,0.6250000000,18150,0.0003630000
0.1450000000,0.6750000000,19947,0.0003989400
0.1450000000,0.7250000000,25361,0.0005072200
0.1450000000,0.7750000000,50636,0.0010127200
0.1450000000,0.8250000000,11215,0.0002243000
0.1450000000,0.8750000000,0,0.0000000000
0.1450000000,0.9250000000,0,0.0000000000
0.1450000000,0.9750000000,0,0.0000000000
0.1550000000,0.0250000000,0,0.0000000000
0.1550000000,0.0750000000,0,0.0000000000
0.1550000000,0.1250000000,0,0.0000000000
0.1550000000,0.1750000000,0,0.0000000000
0.1550000000,0.2250000000,1462,0.0000292400
0.1550000000,0.2750000000,12809,0.0002561800
0.1550000000,0.3250000000,22632,0.0004526400
0.1550000000,0.3750000000,27375,0.0005475000
0.1550000000,0.4250000000,29883,0.0005976600
0.1550000000,0.4750000000,33988,0.0006797600
0.1550000000,0.5250000000,42446,0.0008489200
0.1550000000,0.5750000000,68540,0.0013708000
0.1550000000,0.6250000000,16908,0.0003381600
0.1550000000,0.6750000000,19496,0.0003899200
0.1550000000,0.7250000000,24288,0.0004857600
0.1550000000,0.7750000000,41285,0.0008257000
0.1550000000,0.8250000000,24355,0.0004871000
0.1550000000,0.8750000000,0,0.0000000000
0.1550000000,0.9250000000,0,0.0000000000
0.1550000000,0.9750000000,0,0.0000000000
0.1650000000,0.0250000000,0,0.0000000000
0.1650000000,0.0750000000,0,0.0000000000
0.1650000000,0.1250000000,0,0.0000000000
0.1650000000,0.1750000000,0,0.0000000000
0.1650000000,0.2250000000,1657,0.0000331400
0.1650000000,0.2750000000,12532,0.0002506400
0.1650000000,0.3250000000,22908,0.0004581600
0.1650000000,0.3750000000,27438,0.0005487600
0.1650000000,0.4250000000,30129,0.0006025800
0.1650000000,0.4750000000,34656,0.0006931200
0.1650000000,0.5250000000,43720,0.0008744000
0.1650000000,0.5750000000,62300,0.0012460000
0.1650000000,0.6250000000,16773,0.0003354600
0.1650000000,0.6750000000,19247,0.0003849400
0.1650000000,0.7250000000,23726,0.0004745200
0.1650000000,0.7750000000,36803,0.0007360600
0.1650000000,0.8250000000,32000,0.0006400000
0.1650000000,0.8750000000,0,0.0000000000
0.1650000000,0.9250000000,0,0.0000000000
0.1650000000,0.9750000000,0,0.0000000000
0.1750000000,0.0250000000,0,0.0000000000
0.1750000000,0.0750000000,0,0.0000000000
0.1750000000,0.1250000000,0,0.0000000000
0.1750000000,0.1750000000,0,0.0000000000
0.1750000000,0.2250000000,1631,0.0000326200
0.1750000000,0.2750000000,12436,0.0002487200
0.1750000000,0.3250000000,22405,0.0004481000
0.1750000000,0.3750000000,27440,0.0005488000
0.1750000000,0.4250000000,30894,0.0006178800
0.1750000000,0.4750000000,35499,0.0007099800
0.1750000000,0.5250000000,46244,0.0009248800
0.1750000000,0.5750000000,55704,0.0011140800
0.1750000000,0.6250000000,16725,0.0003345000
0.1750000000,0.6750000000,18768,0.0003753600
0.1750000000,0.7250000000,23002,0.0004600400
0.1750000000,0.7750000000,33943,0.0006788600
0.1750000000,0.8250000000,38283,0.0007656600
0.1750000000,0.8750000000,0,0.0000000000
0.1750000000,0.9250000000,0,0.0000000000
0.1750000000,0.9750000000,0,0.0000000000
0.1850000000,0.0250000000,0,0.0000000000
0.1850000000,0.0750000000,0,0.0000000000
0.1850000000,0.1250000000,0,0.0000000000
0.1850000000,0.1750000000,0,0.0000000000
0.1850000000,0.2250000000,1702,0.0000340400
0.1850000000,0.2750000000,12732,0.0002546400
0.1850000000,0.3250000000,22559,0.0004511800
0.1850000000,0.3750000000,27259,0.0005451800
0.1850000000,0.4250000000,30947,0.0006189400
0.1850000000,0.4750000000,36025,0.0007205000
0.1850000000,0.5250000000,50193,0.0010038600
0.1850000000,0.5750000000,46832,0.0009366400
0.1850000000,0.6250000000,16172,0.0003234400
0.1850000000,0.6750000000,18551,0.0003710200
0.1850000000,0.7250000000,22287,0.0004457400
0.1850000000,0.7750000000,31640,0.0006328000
0.1850000000,0.8250000000,43545,0.0008709000
0.1850000000,0.8750000000,0,0.0000000000
0.1850000000,0.9250000000,0,0.0000000000
0.1850000000,0.9750000000,0,0.0000000000
0.1950000000,0.0250000000,0,0.0000000000
0.1950000000,0.0750000000,0,0.0000000000
0.1950000000,0.1250000000,0,0.0000000000
0.1950000000,0.1750000000,0,0.0000000000
0.1950000000,0.2250000000,1841,0.0000368200
0.1950000000,0.2750000000,12619,0.0002523800
0.1950000000,0.3250000000,22142,0.0004428400
0.1950000000,0.3750000000,27334,0.0005466800
0.1950000000,0.4250000000,30821,0.0006164200
0.1950000000,0.4750000000,36784,0.0007356800
0.1950000000,0.5250000000,57302,0.0011460400
0.1950000000,0.5750000000,34124,0.0006824800
0.1950000000,0.6250000000,16270,0.0003254000
0.1950000000,0.6750000000,18414,0.0003682800
0.1950000000,0.7250000000,21808,0.0004361600
0.1950000000,0.7750000000,29474,0.0005894800
0.1950000000,0.8250000000,48224,0.0009644800
0.1950000000,0.8750000000,0,0.0000000000
0.1950000000,0.9250000000,0,0.0000000000
0.1950000000,0.9750000000,0,0.0000000000
0.2050000000,0.0250000000,0,0.0000000000
0.2050000000,0.0750000000,0,0.0000000000
0.2050000000,0.1250000000,0,0.0000000000
0.2050000000,0.1750000000,0,0.0000000000
0.2050000000,0.2250000000,1782,0.0000356400
0.2050000000,0.2750000000,12367,0.0002473400
0.2050000000,0.3250000000,21958,0.0004391600
0.2050000000,0.3750000000,27224,0.0005444800
0.2050000000,0.4250000000,31111,0.0006222200
0.2050000000,0.4750000000,38031,0.0007606200
0.2050000000,0.5250000000,69670,0.0013934000
0.2050000000,0.5750000000,15659,0.0003131800
0.2050000000,0.6250000000,15792,0.0003158400
0.2050000000,0.6750000000,18126,0.0003625200
0.2050000000,0.7250000000,21342,0.0004268400
0.2050000000,0.7750000000,28399,0.0005679800
0.2050000000,0.8250000000,52036,0.0010407200
0.2050000000,0.8750000000,0,0.0000000000
0.2050000000,0.9250000000,0,0.0000000000
0.2050000000,0.9750000000,0,0.0000000000
0.2150000000,0.0250000000,0,0.0000000000
0.2150000000,0.0750000000,0,0.0000000000
0.2150000000,0.1250000000,0,0.0000000000
0.2150000000,0.1750000000,0,0.0000000000
0.2150000000,0.2250000000,1917,0.0000383400
0.2150000000,0.2750000000,12428,0.0002485600
0.2150000000,0.3250000000,21827,0.0004365400
0.2150000000,0.3750000000,27108,0.0005421600
0.2150000000,0.4250000000,31569,0.0006313800
0.2150000000,0.4750000000,38936,0.0007787200
0.2150000000,0.5250000000,64952,0.0012990400
0.2150000000,0.5750000000,14669,0.0002933800
0.2150000000,0.6250000000,15816,0.0003163200
0.2150000000,0.6750000000,17358,0.0003471600
0.2150000000,0.7250000000,20785,0.0004157000
0.2150000000,0.7750000000,27069,0.0005413800
0.2150000000,0.8250000000,56218,0.0011243600
0.2150000000,0.8750000000,0,0.0000000000
0.2150000000,0.9250000000,0,0.0000000000
0.2150000000,0.9750000000,0,0.0000000000
0.2250000000,0.0250000000,0,0.0000000000
0.2250000000,0.0750000000,0,0.0000000000
0.2250000000,0.1250000000,0,0.0000000000
0.2250000000,0.1750000000,0,0.0000000000
0.2250000000,0.2250000000,1889,0.0000377800
0.2250000000,0.2750000000,12210,0.0002442000
0.2250000000,0.3250000000,21520,0.0004304000
0.2250000000,0.3750000000,27374,0.0005474800
0.2250000000,0.4250000000,31781,0.0006356200
0.2250000000,0.4750000000,41134,0.0008226800
0.2250000000,0.5250000000,58079,0.0011615800
0.2250000000,0.5750000000,14507,0.0002901400
0.2250000000,0.6250000000,15876,0.0003175200
0.2250000000,0.6750000000,17421,0.0003484200
0.2250000000,0.7250000000,20450,0.0004090000
0.2250000000,0.7750000000,25790,0.0005158000
0.2250000000,0.8250000000,59153,0.0011830600
0.2250000000,0.8750000000,746,0.0000149200
0.2250000000,0.9250000000,0,0.0000000000
0.2250000000,0.9750000000,0,0.0000000000
0.2350000000,0.0250000000,0,0.0000000000
0.2350000000,0.0750000000,0,0.0000000000
0.2350000000,0.1250000000,0,0.0000000000
0.2350000000,0.1750000000,0,0.0000000000
0.2350000000,0.2250000000,1885,0.0000377000
0.2350000000,0.2750000000,12263,0.0002452600
0.2350000000,0.3250000000,21576,0.0004315200
0.2350000000,0.3750000000,27029,0.0005405800
0.2350000000,0.4250000000,32249,0.0006449800
0.2350000000,0.4750000000,43768,0.0008753600
0.2350000000,0.5250000000,50389,0.0010077800
0.2350000000,0.5750000000,14237,0.0002847400
0.2350000000,0.6250000000,15848,0.0003169600
0.2350000000,0.6750000000,17279,0.0003455800
0.2350000000,0.7250000000,19863,0.0003972600
0.2350000000,0.7750000000,25348,0.0005069600
0.2350000000,0.8250000000,48066,0.0009613200
0.2350000000,0.8750000000,15518,0.0003103600
0.2350000000,0.9250000000,0,0.0000000000
0.2350000000,0.9750000000,0,0.0000000000
0.2450000000,0.0250000000,0,0.0000000000
0.2450000000,0.0750000000,0,0.0000000000
0.2450000000,0.1250000000,0,0.0000000000
0.2450000000,0.1750000000,0,0.0000000000
0.2450000000,0.2250000000,1998,0.0000399600
